sessao,sessao_TP_qnt,sessao_1T_qnt,sessao_2T_qnt
15/12/2023_05/02/2024,62,116,76
02/02/2024_09/02/2024,137,279,81
09/02/2024_20/02/2024,179,550,298
16/02/2024_23/02/2024,194,339,314
23/02/2024_01/03/2024,91,149,87
01/03/2024_08/03/2024,145,218,136
08/03/2024_15/03/2024,133,218,158
15/03/2024_22/03/2024,149,137,194
22/03/2024_03/04/2024,140,138,116
25/03/2024_25/03/2024,1,0,0
29/03/2024_08/04/2024,80,95,143
05/04/2024_12/04/2024,112,105,130
12/04/2024_19/04/2024,189,257,189
19/04/2024_26/04/2024,155,234,143
26/04/2024_06/05/2024,112,233,183
03/05/2024_10/05/2024,111,122,137
08/05/2024_08/05/2024,1,0,0
10/05/2024_17/05/2024,170,144,218
17/05/2024_24/05/2024,4,10,42
11/01/2023_11/01/2023,0,2,0
12/01/2023_12/01/2023,0,1,0
16/12/2022_06/02/2023,46,62,61
02/02/2023_02/02/2023,0,1,0
03/02/2023_10/02/2023,80,71,51
10/02/2023_17/02/2023,234,192,306
17/02/2023_28/02/2023,149,45,91
24/02/2023_03/03/2023,65,23,36
03/03/2023_10/03/2023,86,100,72
10/03/2023_17/03/2023,74,94,80
16/03/2023_16/03/2023,0,1,0
17/03/2023_24/03/2023,127,101,180
24/03/2023_31/03/2023,155,62,82
31/03/2023_12/04/2023,92,146,169
07/04/2023_17/04/2023,25,59,42
10/04/2023_10/04/2023,0,1,0
14/04/2023_24/04/2023,136,139,105
18/04/2023_18/04/2023,0,1,0
18/04/2023_24/04/2023,0,100,0
21/04/2023_02/05/2023,136,221,76
25/04/2023_02/05/2023,0,200,0
28/04/2023_28/04/2023,0,1,0
28/04/2023_03/05/2023,0,2,0
28/04/2023_08/05/2023,106,91,92
03/05/2023_08/05/2023,0,250,0
05/05/2023_12/05/2023,91,108,121
09/05/2023_15/05/2023,0,250,0
12/05/2023_19/05/2023,102,183,163
16/05/2023_22/05/2023,0,250,0
19/05/2023_26/05/2023,109,185,161
23/05/2023_29/05/2023,0,131,0
26/05/2023_02/06/2023,89,215,74
02/06/2023_09/06/2023,0,70,0
02/06/2023_12/06/2023,127,206,90
09/06/2023_09/06/2023,0,1,0
09/06/2023_16/06/2023,68,269,101
16/06/2023_23/06/2023,97,393,138
23/06/2023_26/06/2023,0,45,0
23/06/2023_30/06/2023,145,343,138
30/06/2023_07/08/2023,79,171,86
04/08/2023_14/08/2023,90,153,121
11/08/2023_21/08/2023,295,685,322
14/08/2023_18/08/2023,0,70,0
18/08/2023_25/08/2023,93,248,96
25/08/2023_01/09/2023,125,262,137
01/09/2023_11/09/2023,124,198,96
05/09/2023_05/09/2023,0,1,0
08/09/2023_15/09/2023,117,203,63
15/09/2023_22/09/2023,120,222,147
21/09/2023_21/09/2023,2,1,0
22/09/2023_29/09/2023,176,338,150
26/09/2023_26/09/2023,1,0,0
26/09/2023_02/10/2023,0,5,0
29/09/2023_06/10/2023,104,29,136
06/10/2023_17/10/2023,100,42,142
13/10/2023_23/10/2023,96,16,124
20/10/2023_27/10/2023,113,87,147
27/10/2023_07/11/2023,115,154,131
03/11/2023_10/11/2023,79,86,78
10/11/2023_20/11/2023,127,166,173
17/11/2023_24/11/2023,117,360,148
24/11/2023_01/12/2023,127,201,150
27/11/2023_27/11/2023,0,2,0
30/11/2023_30/11/2023,0,2,0
01/12/2023_11/12/2023,141,197,83
