data,sessao_tipo,colegiado,colegiado_desc,sessao_id,sessao_numero,sessao_ano,sessao_data_inicio,sessao_data_fim,sessao_hora_inicio,sessao_tipo,sessao_obs,lista_tipo,lista_desc,lista_ministro,lista_min_id,lista_min_desc,lista_min_ordem,lista_min_qtd
07/02/2023,O,2T,Segunda Turma,62090,1,2023,2023-02-07,,14:00,O,,5,Listas de Devoluções de Vistas,EDSON FACHIN,122412,34-2022,1,1
07/03/2023,O,2T,Segunda Turma,62973,2,2023,2023-03-07,,14:00,O,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),GILMAR MENDES,122371,28-2023,3,1
28/03/2023,O,2T,Segunda Turma,63250,3,2023,2023-03-28,,14:00,O,,4,Listas de Destaques feitos no PV,RICARDO LEWANDOWSKI,120442,361-2022,2,1
09/05/2023,O,2T,Segunda Turma,63652,5,2023,2023-05-09,,14:00,O,,4,Listas de Destaques feitos no PV,EDSON FACHIN,122868,81-2023,1,1
23/05/2023,O,2T,Segunda Turma,64455,6,2023,2023-05-23,,14:00,O,,4,Listas de Destaques feitos no PV,EDSON FACHIN,125665,337-2023,1,1
13/06/2023,O,2T,Segunda Turma,66980,7,2023,2023-06-13,,14:00,O,,10,Listas de Destaques Cancelados,EDSON FACHIN,123526,129-2023,2,1
22/08/2023,O,2T,Segunda Turma,68330,9,2023,2023-08-22,,14:00,O,,4,Listas de Destaques feitos no PV,EDSON FACHIN,128129,539-2023,1,2
19/09/2023,O,2T,Segunda Turma,71554,10,2023,2023-09-19,,14:30,O,,5,Listas de Devoluções de Vistas,EDSON FACHIN,128260,166-2023,3,1
08/02/2022,O,2T,Segunda Turma,58371,33,2021,2022-02-08,,14:00,O,,4,Listas de Destaques feitos no PV,RICARDO LEWANDOWSKI,105106,214-2021,1,1
08/02/2022,O,2T,Segunda Turma,58371,33,2021,2022-02-08,,14:00,O,,4,Listas de Destaques feitos no PV,RICARDO LEWANDOWSKI,111491,1-2022,2,1
22/02/2022,O,2T,Segunda Turma,58571,2,2022,2022-02-22,,14:00,O,,4,Listas de Destaques feitos no PV,EDSON FACHIN,105492,390-2021,1,1
22/03/2022,O,2T,Segunda Turma,58930,4,2022,2022-03-22,,14:00,O,,4,Listas de Destaques feitos no PV,EDSON FACHIN,113329,72-2022,1,1
05/04/2022,O,2T,Segunda Turma,59110,6,2022,2022-04-05,,14:00,O,,4,Listas de Destaques feitos no PV,RICARDO LEWANDOWSKI,113713,83-2022,2,1
05/04/2022,O,2T,Segunda Turma,59110,6,2022,2022-04-05,,14:00,O,,4,Listas de Destaques feitos no PV,EDSON FACHIN,113690,97-2022,3,1
03/05/2022,O,2T,Segunda Turma,59470,6,2022,2022-05-03,,14:00,O,,4,Listas de Destaques feitos no PV,RICARDO LEWANDOWSKI,114252,111-2022,1,1
17/05/2022,O,2T,Segunda Turma,59590,7,2022,2022-05-17,,14:00,O,,5,Listas de Devoluções de Vistas,EDSON FACHIN,115419,190-2022,1,1
07/06/2022,O,2T,Segunda Turma,59850,8,2022,2022-06-07,,14:00,O,,4,Listas de Destaques feitos no PV,EDSON FACHIN,115660,197-2022,1,1
28/06/2022,O,2T,Segunda Turma,60011,9,2022,2022-06-28,,14:00,O,,4,Listas de Destaques feitos no PV,RICARDO LEWANDOWSKI,115662,163-2022,1,1
28/06/2022,O,2T,Segunda Turma,60011,9,2022,2022-06-28,,14:00,O,,4,Listas de Destaques feitos no PV,EDSON FACHIN,115679,198-2022,2,1
28/06/2022,O,2T,Segunda Turma,60011,9,2022,2022-06-28,,14:00,O,,4,Listas de Destaques feitos no PV,EDSON FACHIN,115680,199-2022,3,2
09/08/2022,O,2T,Segunda Turma,60210,11,2022,2022-08-09,,14:00,O,,4,Listas de Destaques feitos no PV,RICARDO LEWANDOWSKI,114253,112-2022,1,1
30/08/2022,O,2T,Segunda Turma,60430,11,2022,2022-08-30,,14:00,O,,4,Listas de Destaques feitos no PV,RICARDO LEWANDOWSKI,118094,243-2022,1,1
27/09/2022,O,2T,Segunda Turma,61051,12,2022,2022-09-27,,14:00,O,,1,"Listas dos Relatores (Mérito, exceto Controle Concentrado)",GILMAR MENDES,119159,398-2022,1,1
27/09/2022,O,2T,Segunda Turma,61051,12,2022,2022-09-27,,14:00,O,,4,Listas de Destaques feitos no PV,EDSON FACHIN,118360,349-2022,2,1
25/10/2022,O,2T,Segunda Turma,61071,13,2022,2022-10-25,,14:00,O,,4,Listas de Destaques feitos no PV,RICARDO LEWANDOWSKI,119550,318-2022,1,1
25/10/2022,O,2T,Segunda Turma,61071,13,2022,2022-10-25,,14:00,O,,4,Listas de Destaques feitos no PV,EDSON FACHIN,120008,472-2022,3,1
08/11/2022,O,2T,Segunda Turma,61472,14,2022,2022-11-08,,14:00,O,,5,Listas de Devoluções de Vistas,CELSO DE MELLO,119779,70-2020,4,5
22/11/2022,O,2T,Segunda Turma,61610,15,2022,2022-11-22,,14:00,O,,5,Listas de Devoluções de Vistas,EDSON FACHIN,120482,390-2021,1,1
02/02/2021,O,2T,Segunda Turma,54431,1,2020,2021-02-02,,14:00,O,,4,Listas de Destaques feitos no PV,EDSON FACHIN,95171,471-2020,2,1
