data,sessao_tipo,colegiado,colegiado_desc,sessao_id,sessao_numero,sessao_ano,sessao_data_inicio,sessao_data_fim,sessao_hora_inicio,sessao_tipo,sessao_obs,lista_tipo,lista_desc,lista_ministro,lista_min_id,lista_min_desc,lista_min_ordem,lista_min_qtd
11/01/2023_11/01/2023,VIRTUAL,TP,Plenário,,,2023,2023-01-11,2023-01-11,00:00,VIRTUAL,,7,Listas dos Relatores (Referendos),ALEXANDRE DE MORAES,122180,14-2023,1,2
12/01/2023_12/01/2023,VIRTUAL,TP,Plenário,,,2023,2023-01-12,2023-01-12,00:00,VIRTUAL,,7,Listas dos Relatores (Referendos),ALEXANDRE DE MORAES,122222,15-2023,1,1
16/12/2022_06/02/2023,VIRTUAL,1T,Primeira Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),CÁRMEN LÚCIA,121840,497-2022,34,1
16/12/2022_06/02/2023,VIRTUAL,1T,Primeira Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),DIAS TOFFOLI,121759,653-2022,3,1
16/12/2022_06/02/2023,VIRTUAL,1T,Primeira Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),LUÍS ROBERTO BARROSO,121842,584-2022,36,1
16/12/2022_06/02/2023,VIRTUAL,1T,Primeira Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),ALEXANDRE DE MORAES,121867,731-2022,39,1
16/12/2022_06/02/2023,VIRTUAL,1T,Primeira Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,1,"Listas dos Relatores (Mérito, exceto Controle Concentrado)",EDSON FACHIN,121794,646-2022,12,1
16/12/2022_06/02/2023,VIRTUAL,1T,Primeira Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),RICARDO LEWANDOWSKI,121847,420-2022,26,1
16/12/2022_06/02/2023,VIRTUAL,1T,Primeira Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),EDSON FACHIN,121879,657-2022,35,1
16/12/2022_06/02/2023,VIRTUAL,1T,Primeira Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),NUNES MARQUES,121876,413-2022,31,2
16/12/2022_06/02/2023,VIRTUAL,1T,Primeira Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,1,"Listas dos Relatores (Mérito, exceto Controle Concentrado)",MINISTRO PRESIDENTE,121798,567-2022,17,1
16/12/2022_06/02/2023,VIRTUAL,1T,Primeira Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,1,"Listas dos Relatores (Mérito, exceto Controle Concentrado)",ALEXANDRE DE MORAES,121877,732-2022,23,1
16/12/2022_06/02/2023,VIRTUAL,1T,Primeira Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,1,"Listas dos Relatores (Mérito, exceto Controle Concentrado)",ANDRÉ MENDONÇA,121824,198-2022,4,1
16/12/2022_06/02/2023,VIRTUAL,1T,Primeira Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),MINISTRO PRESIDENTE,121837,569-2022,19,1
16/12/2022_06/02/2023,VIRTUAL,1T,Primeira Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),CÁRMEN LÚCIA,121790,486-2022,12,1
16/12/2022_06/02/2023,VIRTUAL,1T,Primeira Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),LUÍS ROBERTO BARROSO,121851,588-2022,24,2
16/12/2022_06/02/2023,VIRTUAL,1T,Primeira Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),EDSON FACHIN,121797,648-2022,15,1
16/12/2022_06/02/2023,VIRTUAL,1T,Primeira Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),NUNES MARQUES,121869,405-2022,22,1
16/12/2022_06/02/2023,VIRTUAL,1T,Primeira Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,3,Listas dos Relatores em Ações de Controle Concentrado (Mérito),LUÍS ROBERTO BARROSO,121720,576-2022,2,2
16/12/2022_06/02/2023,VIRTUAL,1T,Primeira Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,10,Listas de Destaques Cancelados,MARCO AURÉLIO,121779,296-2021,,1
16/12/2022_06/02/2023,VIRTUAL,2T,Segunda Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),CÁRMEN LÚCIA,121840,497-2022,34,1
16/12/2022_06/02/2023,VIRTUAL,2T,Segunda Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),DIAS TOFFOLI,121759,653-2022,3,1
16/12/2022_06/02/2023,VIRTUAL,2T,Segunda Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),LUÍS ROBERTO BARROSO,121842,584-2022,36,1
16/12/2022_06/02/2023,VIRTUAL,2T,Segunda Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),ALEXANDRE DE MORAES,121867,731-2022,39,1
16/12/2022_06/02/2023,VIRTUAL,2T,Segunda Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,1,"Listas dos Relatores (Mérito, exceto Controle Concentrado)",EDSON FACHIN,121794,646-2022,12,1
16/12/2022_06/02/2023,VIRTUAL,2T,Segunda Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),RICARDO LEWANDOWSKI,121847,420-2022,26,1
16/12/2022_06/02/2023,VIRTUAL,2T,Segunda Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),EDSON FACHIN,121879,657-2022,35,1
16/12/2022_06/02/2023,VIRTUAL,2T,Segunda Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),NUNES MARQUES,121876,413-2022,31,2
16/12/2022_06/02/2023,VIRTUAL,2T,Segunda Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,1,"Listas dos Relatores (Mérito, exceto Controle Concentrado)",MINISTRO PRESIDENTE,121798,567-2022,17,1
16/12/2022_06/02/2023,VIRTUAL,2T,Segunda Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,1,"Listas dos Relatores (Mérito, exceto Controle Concentrado)",ALEXANDRE DE MORAES,121877,732-2022,23,1
16/12/2022_06/02/2023,VIRTUAL,2T,Segunda Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,1,"Listas dos Relatores (Mérito, exceto Controle Concentrado)",ANDRÉ MENDONÇA,121824,198-2022,4,1
16/12/2022_06/02/2023,VIRTUAL,2T,Segunda Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),MINISTRO PRESIDENTE,121837,569-2022,19,1
16/12/2022_06/02/2023,VIRTUAL,2T,Segunda Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),CÁRMEN LÚCIA,121790,486-2022,12,1
16/12/2022_06/02/2023,VIRTUAL,2T,Segunda Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),LUÍS ROBERTO BARROSO,121851,588-2022,24,2
16/12/2022_06/02/2023,VIRTUAL,2T,Segunda Turma,,,2022,2022-12-16,2023-02-06,00:00,VIRTUAL,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),EDSON FACHIN,121797,648-2022,15,1
