data,sessao_tipo,colegiado,colegiado_desc,sessao_id,sessao_numero,sessao_ano,sessao_data_inicio,sessao_data_fim,sessao_hora_inicio,sessao_tipo,sessao_obs,inc_cadeia,inc_classe,inc_numero,inc_idInformacaoPautaProcesso,inc_materiaRelevante,inc_ministroVista,inc_relator,inc_repercussaoGeral,inc_situacaoProcessoSessao
01/02/2023,O,TP,Plenário,62290,1,2023,2023-02-01,,15:00,O,,,RE,955227,152684,N,,LUÍS ROBERTO BARROSO,S,S
01/02/2023,O,TP,Plenário,62290,1,2023,2023-02-01,,15:00,O,,,RE,949297,112219,N,,EDSON FACHIN,S,S
02/02/2023,E,TP,Plenário,62291,1,2023,2023-02-02,,14:00,E,,,RE,955227,152684,N,,LUÍS ROBERTO BARROSO,S,S
02/02/2023,E,TP,Plenário,62291,1,2023,2023-02-02,,14:00,E,,,RE,949297,112219,N,,EDSON FACHIN,S,S
07/02/2023,O,1T,Primeira Turma,62450,1,2023,2023-02-07,,14:30,O,,AG.REG. NA RECLAMAÇÃO,Rcl,39509,164622,N,,LUÍS ROBERTO BARROSO,,J
07/02/2023,O,1T,Primeira Turma,62450,1,2023,2023-02-07,,14:30,O,,,Ext,1763,165602,N,,CÁRMEN LÚCIA,,J
08/02/2023,O,TP,Plenário,62292,2,2023,2023-02-08,,14:00,O,,,RE,955227,152684,N,,LUÍS ROBERTO BARROSO,S,J
08/02/2023,O,TP,Plenário,62292,2,2023,2023-02-08,,14:00,O,,,RE,949297,112219,N,,EDSON FACHIN,S,J
08/02/2023,O,TP,Plenário,62292,2,2023,2023-02-08,,14:00,O,,,ADI,5941,147053,S,,LUIZ FUX,,S
09/02/2023,E,TP,Plenário,62293,2,2023,2023-02-09,,14:00,E,,,ADI,5941,147053,S,,LUIZ FUX,,J
15/02/2023,O,TP,Plenário,62294,3,2023,2023-02-15,,14:00,O,,QUESTÃO DE ORDEM NOS QUARTOS EMB.DECL. NO RECURSO EXTRAORDINÁRIO,RE,958252,164642,N,,LUIZ FUX,S,S
15/02/2023,O,TP,Plenário,62294,3,2023,2023-02-15,,14:00,O,,EMB.DECL. NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE,ADI,346,163982,N,,GILMAR MENDES,,J
15/02/2023,O,TP,Plenário,62294,3,2023,2023-02-15,,14:00,O,,SEGUNDOS EMB.DECL. NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE,ADI,346,163983,N,,GILMAR MENDES,,J
15/02/2023,O,TP,Plenário,62294,3,2023,2023-02-15,,14:00,O,,EMB.DECL. NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE,ADI,4776,159885,N,,GILMAR MENDES,,J
15/02/2023,O,TP,Plenário,62294,3,2023,2023-02-15,,14:00,O,,,ADI,4872,158702,N,,MARCO AURÉLIO,,J
16/02/2023,E,TP,Plenário,62295,3,2023,2023-02-16,,14:00,E,,,ADI,4727,140991,N,,EDSON FACHIN,,S
23/02/2023,E,TP,Plenário,62310,4,2023,2023-02-23,,14:00,E,,,ADI,4727,140991,N,,EDSON FACHIN,,J
23/02/2023,E,TP,Plenário,62310,4,2023,2023-02-23,,14:00,E,,EMB.DECL. NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE,ADI,3356,146793,N,,CÁRMEN LÚCIA,,J
23/02/2023,E,TP,Plenário,62310,4,2023,2023-02-23,,14:00,E,,EMB.DECL. NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE,ADI,3357,152502,N,,CÁRMEN LÚCIA,,J
23/02/2023,E,TP,Plenário,62310,4,2023,2023-02-23,,14:00,E,,EMB.DECL. NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE,ADI,3937,156362,N,,CÁRMEN LÚCIA,,J
23/02/2023,E,TP,Plenário,62310,4,2023,2023-02-23,,14:00,E,,EMB.DECL. NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE,ADI,3406,149573,N,,ROSA WEBER,,J
23/02/2023,E,TP,Plenário,62310,4,2023,2023-02-23,,14:00,E,,SEGUNDOS EMB.DECL. NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE,ADI,3406,153183,N,,ROSA WEBER,,J
23/02/2023,E,TP,Plenário,62310,4,2023,2023-02-23,,14:00,E,,EMB.DECL. NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE,ADI,3470,153182,N,,ROSA WEBER,,J
23/02/2023,E,TP,Plenário,62310,4,2023,2023-02-23,,14:00,E,,EMB.DECL. NA ARGUIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL,ADPF,109,147413,N,,EDSON FACHIN,,J
23/02/2023,E,TP,Plenário,62310,4,2023,2023-02-23,,14:00,E,,,ADC,51,157002,N,,GILMAR MENDES,,J
01/03/2023,O,TP,Plenário,62296,4,2023,2023-03-01,,14:00,O,,,HC,208240,165662,N,,EDSON FACHIN,,S
02/03/2023,E,TP,Plenário,62297,5,2023,2023-03-02,,14:00,E,,,HC,208240,165662,N,,EDSON FACHIN,,S
