id_lista,orgão
45371,T1
45414,T1
45415,T1
45416,T1
45419,T1
45436,T1
45427,T1
45437,T1
45453,T1
45454,T1
45441,T1
45411,T1
45431,T1
45433,T1
45412,T1
45434,T1
45435,T1
45424,T1
45425,T1
45426,T1
45451,T1
45452,T1
45432,T1
45629,T1
45611,T1
45612,T1
45633,T1
45634,T1
45635,T1
45618,T1
45638,T1
45639,T1
45640,T1
45606,T1
45607,T1
45882,T1
45883,T1
45884,T1
45885,T1
45886,T1
45887,T1
45888,T1
45889,T1
45890,T1
45891,T1
45862,T1
45863,T1
45864,T1
45702,T1
45722,T1
45723,T1
45898,T1
45946,T1
45947,T1
45948,T1
45949,T1
45931,T1
45932,T1
45950,T1
45951,T1
45952,T1
45953,T1
45933,T1
45934,T1
45935,T1
45936,T1
45937,T1
45941,T1
45962,T1
45963,T1
45901,T1
45923,T1
45924,T1
45926,T1
45942,T1
45927,T1
46132,T1
46062,T1
46046,T1
46047,T1
46048,T1
46049,T1
46063,T1
46050,T1
46110,T1
46114,T1
46116,T1
46131,T1
46085,T1
46086,T1
46087,T1
46103,T1
46088,T1
46104,T1
46089,T1
46090,T1
46105,T1
46106,T1
46122,T1
46123,T1
46124,T1
46111,T1
46112,T1
46113,T1
46115,T1
46117,T1
46118,T1
46119,T1
46082,T1
46407,T1
46429,T1
46430,T1
46413,T1
46439,T1
46440,T1
46443,T1
46426,T1
46408,T1
46427,T1
46428,T1
46409,T1
46410,T1
46411,T1
46386,T1
46368,T1
46387,T1
46388,T1
46412,T1
46436,T1
46414,T1
46415,T1
46437,T1
46416,T1
46417,T1
46362,T1
46382,T1
46363,T1
56851,T1
56852,T1
56853,T1
56870,T1
56858,T1
56854,T1
56873,T1
56855,T1
56874,T1
56875,T1
56876,T1
56877,T1
56878,T1
56856,T1
56879,T1
56880,T1
56990,T1
56991,T1
57010,T1
57011,T1
56992,T1
56998,T1
57021,T1
57000,T1
57022,T1
57023,T1
57001,T1
57002,T1
57003,T1
57004,T1
57024,T1
57025,T1
57318,T1
57319,T1
57282,T1
57320,T1
57321,T1
57322,T1
57323,T1
57324,T1
57230,T1
57231,T1
57232,T1
57233,T1
57250,T1
57234,T1
57235,T1
57251,T1
57252,T1
57236,T1
57030,T1
57326,T1
57286,T1
57327,T1
57328,T1
57288,T1
57329,T1
57330,T1
57331,T1
57332,T1
57333,T1
57339,T1
57365,T1
57366,T1
57343,T1
57367,T1
57344,T1
57347,T1
57373,T1
57270,T1
57287,T1
57273,T1
57290,T1
57274,T1
57291,T1
57275,T1
57292,T1
57293,T1
57294,T1
57276,T1
57295,T1
57277,T1
57278,T1
57279,T1
57280,T1
57369,T1
57371,T1
57345,T1
57346,T1
57372,T1
57439,T1
57421,T1
57440,T1
57422,T1
57423,T1
57441,T1
57424,T1
57425,T1
57426,T1
57475,T1
57476,T1
57477,T1
57478,T1
57479,T1
57480,T1
57434,T1
57453,T1
57484,T1
57485,T1
57486,T1
57487,T1
57482,T1
57483,T1
57430,T1
57431,T1
57449,T1
57432,T1
57450,T1
57451,T1
57433,T1
57452,T1
57661,T1
57647,T1
57688,T1
57670,T1
57691,T1
57698,T1
57520,T1
57619,T1
57620,T1
57723,T1
57744,T1
57745,T1
57724,T1
57725,T1
57746,T1
57726,T1
57747,T1
68883,T1
68884,T1
68885,T1
68886,T1
68901,T1
68902,T1
68739,T1
68859,T1
68860,T1
68841,T1
68842,T1
68861,T1
68843,T1
68844,T1
68862,T1
68863,T1
68864,T1
68903,T1
68887,T1
69148,T1
69152,T1
69153,T1
69154,T1
69184,T1
69185,T1
69186,T1
69142,T1
69143,T1
69144,T1
69161,T1
69179,T1
69180,T1
69145,T1
69450,T1
69461,T1
69463,T1
69464,T1
69451,T1
69452,T1
69465,T1
69419,T1
69439,T1
69440,T1
69441,T1
69442,T1
69443,T1
69444,T1
69445,T1
69239,T1
69469,T1
69470,T1
69477,T1
69478,T1
69479,T1
69480,T1
69499,T1
69481,T1
69500,T1
69501,T1
69482,T1
69483,T1
69484,T1
69968,T1
69980,T1
69981,T1
69972,T1
69973,T1
69982,T1
69974,T1
69975,T1
69976,T1
69978,T1
70023,T1
70011,T1
70013,T1
70025,T1
70016,T1
70027,T1
70028,T1
70029,T1
70030,T1
70031,T1
70032,T1
70033,T1
70034,T1
70035,T1
70036,T1
70037,T1
69967,T1
69984,T1
70012,T1
69860,T1
69880,T1
69861,T1
69881,T1
69882,T1
69862,T1
69863,T1
69864,T1
69865,T1
69866,T1
69867,T1
69868,T1
69921,T1
70326,T1
70328,T1
70329,T1
70330,T1
70344,T1
70345,T1
70346,T1
70332,T1
70079,T1
70080,T1
70066,T1
70082,T1
70259,T1
70340,T1
70341,T1
70342,T1
70343,T1
70393,T1
70394,T1
70395,T1
70396,T1
70397,T1
70159,T1
70219,T1
70220,T1
70239,T1
70221,T1
