dados,data,tipo,colegiados
"{""data"":""01/02/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[{""codigo"":""TP"",""descricao"":""Plenário"",""sessoes"":[{""id"":""62270"",""dataInicio"":""01/02/2023 10:00"",""tipo"":""S"",""numero"":""1"",""ano"":""2023"",""observacao"":""Sessão Solene - Instalação do Ano Judiciário."",""incidentes"":[],""listas"":[]},{""id"":""62290"",""dataInicio"":""01/02/2023 15:00"",""tipo"":""O"",""numero"":""1"",""ano"":""2023"",""observacao"":null,""incidentes"":[{""cadeia"":null,""classe"":""RE"",""numero"":""955227"",""relator"":""MIN. LUÍS ROBERTO BARROSO"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":""S"",""situacaoProcessoSessao"":""S"",""idInformacaoPautaProcesso"":""152684""},{""cadeia"":null,""classe"":""RE"",""numero"":""949297"",""relator"":""MIN. EDSON FACHIN"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":""S"",""situacaoProcessoSessao"":""S"",""idInformacaoPautaProcesso"":""112219""}],""listas"":[]}]}]}",01/02/2023,PRESENCIAL,"[{""codigo"":""TP"",""descricao"":""Plenário"",""sessoes"":[{""id"":""62270"",""dataInicio"":""01/02/2023 10:00"",""tipo"":""S"",""numero"":""1"",""ano"":""2023"",""observacao"":""Sessão Solene - Instalação do Ano Judiciário."",""incidentes"":[],""listas"":[]},{""id"":""62290"",""dataInicio"":""01/02/2023 15:00"",""tipo"":""O"",""numero"":""1"",""ano"":""2023"",""observacao"":null,""incidentes"":[{""cadeia"":null,""classe"":""RE"",""numero"":""955227"",""relator"":""MIN. LUÍS ROBERTO BARROSO"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":""S"",""situacaoProcessoSessao"":""S"",""idInformacaoPautaProcesso"":""152684""},{""cadeia"":null,""classe"":""RE"",""numero"":""949297"",""relator"":""MIN. EDSON FACHIN"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":""S"",""situacaoProcessoSessao"":""S"",""idInformacaoPautaProcesso"":""112219""}],""listas"":[]}]}]}"
"{""data"":""02/02/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[{""codigo"":""TP"",""descricao"":""Plenário"",""sessoes"":[{""id"":""62291"",""dataInicio"":""02/02/2023 14:00"",""tipo"":""E"",""numero"":""1"",""ano"":""2023"",""observacao"":null,""incidentes"":[{""cadeia"":null,""classe"":""RE"",""numero"":""955227"",""relator"":""MIN. LUÍS ROBERTO BARROSO"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":""S"",""situacaoProcessoSessao"":""S"",""idInformacaoPautaProcesso"":""152684""},{""cadeia"":null,""classe"":""RE"",""numero"":""949297"",""relator"":""MIN. EDSON FACHIN"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":""S"",""situacaoProcessoSessao"":""S"",""idInformacaoPautaProcesso"":""112219""}],""listas"":[]}]}]}",02/02/2023,PRESENCIAL,"[{""codigo"":""TP"",""descricao"":""Plenário"",""sessoes"":[{""id"":""62291"",""dataInicio"":""02/02/2023 14:00"",""tipo"":""E"",""numero"":""1"",""ano"":""2023"",""observacao"":null,""incidentes"":[{""cadeia"":null,""classe"":""RE"",""numero"":""955227"",""relator"":""MIN. LUÍS ROBERTO BARROSO"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":""S"",""situacaoProcessoSessao"":""S"",""idInformacaoPautaProcesso"":""152684""},{""cadeia"":null,""classe"":""RE"",""numero"":""949297"",""relator"":""MIN. EDSON FACHIN"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":""S"",""situacaoProcessoSessao"":""S"",""idInformacaoPautaProcesso"":""112219""}],""listas"":[]}]}]}"
"{""data"":""07/02/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[{""codigo"":""1T"",""descricao"":""Primeira Turma"",""sessoes"":[{""id"":""62450"",""dataInicio"":""07/02/2023 14:30"",""tipo"":""O"",""numero"":""1"",""ano"":""2023"",""observacao"":null,""incidentes"":[{""cadeia"":""AG.REG. NA RECLAMAÇÃO"",""classe"":""Rcl"",""numero"":""39509"",""relator"":""MIN. LUÍS ROBERTO BARROSO"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""164622""},{""cadeia"":null,""classe"":""Ext"",""numero"":""1763"",""relator"":""MIN. CÁRMEN LÚCIA"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""165602""}],""listas"":[]}]},{""codigo"":""2T"",""descricao"":""Segunda Turma"",""sessoes"":[{""id"":""62090"",""dataInicio"":""07/02/2023 14:00"",""tipo"":""O"",""numero"":""1"",""ano"":""2023"",""observacao"":null,""incidentes"":[],""listas"":[{""idTipo"":""5"",""descricao"":""Listas de Devoluções de Vistas"",""ministros"":[{""nome"":""MIN. EDSON FACHIN"",""listaJulgamento"":[{""id"":""122412"",""descricao"":""34-2022"",""ordem"":""1"",""quantidadeProcessos"":""1""}]}]}]}]}]}",07/02/2023,PRESENCIAL,"[{""codigo"":""1T"",""descricao"":""Primeira Turma"",""sessoes"":[{""id"":""62450"",""dataInicio"":""07/02/2023 14:30"",""tipo"":""O"",""numero"":""1"",""ano"":""2023"",""observacao"":null,""incidentes"":[{""cadeia"":""AG.REG. NA RECLAMAÇÃO"",""classe"":""Rcl"",""numero"":""39509"",""relator"":""MIN. LUÍS ROBERTO BARROSO"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""164622""},{""cadeia"":null,""classe"":""Ext"",""numero"":""1763"",""relator"":""MIN. CÁRMEN LÚCIA"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""165602""}],""listas"":[]}]},{""codigo"":""2T"",""descricao"":""Segunda Turma"",""sessoes"":[{""id"":""62090"",""dataInicio"":""07/02/2023 14:00"",""tipo"":""O"",""numero"":""1"",""ano"":""2023"",""observacao"":null,""incidentes"":[],""listas"":[{""idTipo"":""5"",""descricao"":""Listas de Devoluções de Vistas"",""ministros"":[{""nome"":""MIN. EDSON FACHIN"",""listaJulgamento"":[{""id"":""122412"",""descricao"":""34-2022"",""ordem"":""1"",""quantidadeProcessos"":""1""}]}]}]}]}]}"
"{""data"":""08/02/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[{""codigo"":""TP"",""descricao"":""Plenário"",""sessoes"":[{""id"":""62292"",""dataInicio"":""08/02/2023 14:00"",""tipo"":""O"",""numero"":""2"",""ano"":""2023"",""observacao"":null,""incidentes"":[{""cadeia"":null,""classe"":""RE"",""numero"":""955227"",""relator"":""MIN. LUÍS ROBERTO BARROSO"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":""S"",""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""152684""},{""cadeia"":null,""classe"":""RE"",""numero"":""949297"",""relator"":""MIN. EDSON FACHIN"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":""S"",""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""112219""},{""cadeia"":null,""classe"":""ADI"",""numero"":""5941"",""relator"":""MIN. LUIZ FUX"",""ministroVista"":null,""materiaRelevante"":""S"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""S"",""idInformacaoPautaProcesso"":""147053""}],""listas"":[]}]}]}",08/02/2023,PRESENCIAL,"[{""codigo"":""TP"",""descricao"":""Plenário"",""sessoes"":[{""id"":""62292"",""dataInicio"":""08/02/2023 14:00"",""tipo"":""O"",""numero"":""2"",""ano"":""2023"",""observacao"":null,""incidentes"":[{""cadeia"":null,""classe"":""RE"",""numero"":""955227"",""relator"":""MIN. LUÍS ROBERTO BARROSO"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":""S"",""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""152684""},{""cadeia"":null,""classe"":""RE"",""numero"":""949297"",""relator"":""MIN. EDSON FACHIN"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":""S"",""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""112219""},{""cadeia"":null,""classe"":""ADI"",""numero"":""5941"",""relator"":""MIN. LUIZ FUX"",""ministroVista"":null,""materiaRelevante"":""S"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""S"",""idInformacaoPautaProcesso"":""147053""}],""listas"":[]}]}]}"
"{""data"":""09/02/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[{""codigo"":""TP"",""descricao"":""Plenário"",""sessoes"":[{""id"":""62293"",""dataInicio"":""09/02/2023 14:00"",""tipo"":""E"",""numero"":""2"",""ano"":""2023"",""observacao"":null,""incidentes"":[{""cadeia"":null,""classe"":""ADI"",""numero"":""5941"",""relator"":""MIN. LUIZ FUX"",""ministroVista"":null,""materiaRelevante"":""S"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""147053""}],""listas"":[]}]}]}",09/02/2023,PRESENCIAL,"[{""codigo"":""TP"",""descricao"":""Plenário"",""sessoes"":[{""id"":""62293"",""dataInicio"":""09/02/2023 14:00"",""tipo"":""E"",""numero"":""2"",""ano"":""2023"",""observacao"":null,""incidentes"":[{""cadeia"":null,""classe"":""ADI"",""numero"":""5941"",""relator"":""MIN. LUIZ FUX"",""ministroVista"":null,""materiaRelevante"":""S"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""147053""}],""listas"":[]}]}]}"
"{""data"":""15/02/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[{""codigo"":""TP"",""descricao"":""Plenário"",""sessoes"":[{""id"":""62294"",""dataInicio"":""15/02/2023 14:00"",""tipo"":""O"",""numero"":""3"",""ano"":""2023"",""observacao"":null,""incidentes"":[{""cadeia"":""QUESTÃO DE ORDEM NOS QUARTOS EMB.DECL. NO RECURSO EXTRAORDINÁRIO"",""classe"":""RE"",""numero"":""958252"",""relator"":""MIN. LUIZ FUX"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":""S"",""situacaoProcessoSessao"":""S"",""idInformacaoPautaProcesso"":""164642""},{""cadeia"":""EMB.DECL. NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE"",""classe"":""ADI"",""numero"":""346"",""relator"":""MIN. GILMAR MENDES"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""163982""},{""cadeia"":""SEGUNDOS EMB.DECL. NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE"",""classe"":""ADI"",""numero"":""346"",""relator"":""MIN. GILMAR MENDES"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""163983""},{""cadeia"":""EMB.DECL. NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE"",""classe"":""ADI"",""numero"":""4776"",""relator"":""MIN. GILMAR MENDES"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""159885""},{""cadeia"":null,""classe"":""ADI"",""numero"":""4872"",""relator"":""MIN. MARCO AURÉLIO"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""158702""}],""listas"":[]}]}]}",15/02/2023,PRESENCIAL,"[{""codigo"":""TP"",""descricao"":""Plenário"",""sessoes"":[{""id"":""62294"",""dataInicio"":""15/02/2023 14:00"",""tipo"":""O"",""numero"":""3"",""ano"":""2023"",""observacao"":null,""incidentes"":[{""cadeia"":""QUESTÃO DE ORDEM NOS QUARTOS EMB.DECL. NO RECURSO EXTRAORDINÁRIO"",""classe"":""RE"",""numero"":""958252"",""relator"":""MIN. LUIZ FUX"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":""S"",""situacaoProcessoSessao"":""S"",""idInformacaoPautaProcesso"":""164642""},{""cadeia"":""EMB.DECL. NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE"",""classe"":""ADI"",""numero"":""346"",""relator"":""MIN. GILMAR MENDES"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""163982""},{""cadeia"":""SEGUNDOS EMB.DECL. NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE"",""classe"":""ADI"",""numero"":""346"",""relator"":""MIN. GILMAR MENDES"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""163983""},{""cadeia"":""EMB.DECL. NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE"",""classe"":""ADI"",""numero"":""4776"",""relator"":""MIN. GILMAR MENDES"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""159885""},{""cadeia"":null,""classe"":""ADI"",""numero"":""4872"",""relator"":""MIN. MARCO AURÉLIO"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""158702""}],""listas"":[]}]}]}"
"{""data"":""16/02/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[{""codigo"":""TP"",""descricao"":""Plenário"",""sessoes"":[{""id"":""62295"",""dataInicio"":""16/02/2023 14:00"",""tipo"":""E"",""numero"":""3"",""ano"":""2023"",""observacao"":null,""incidentes"":[{""cadeia"":null,""classe"":""ADI"",""numero"":""4727"",""relator"":""MIN. EDSON FACHIN"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""S"",""idInformacaoPautaProcesso"":""140991""}],""listas"":[]}]}]}",16/02/2023,PRESENCIAL,"[{""codigo"":""TP"",""descricao"":""Plenário"",""sessoes"":[{""id"":""62295"",""dataInicio"":""16/02/2023 14:00"",""tipo"":""E"",""numero"":""3"",""ano"":""2023"",""observacao"":null,""incidentes"":[{""cadeia"":null,""classe"":""ADI"",""numero"":""4727"",""relator"":""MIN. EDSON FACHIN"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""S"",""idInformacaoPautaProcesso"":""140991""}],""listas"":[]}]}]}"
"{""data"":""23/02/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[{""codigo"":""TP"",""descricao"":""Plenário"",""sessoes"":[{""id"":""62310"",""dataInicio"":""23/02/2023 14:00"",""tipo"":""E"",""numero"":""4"",""ano"":""2023"",""observacao"":null,""incidentes"":[{""cadeia"":null,""classe"":""ADI"",""numero"":""4727"",""relator"":""MIN. EDSON FACHIN"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""140991""},{""cadeia"":""EMB.DECL. NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE"",""classe"":""ADI"",""numero"":""3356"",""relator"":""MIN. CÁRMEN LÚCIA"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""146793""},{""cadeia"":""EMB.DECL. NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE"",""classe"":""ADI"",""numero"":""3357"",""relator"":""MIN. CÁRMEN LÚCIA"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""152502""},{""cadeia"":""EMB.DECL. NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE"",""classe"":""ADI"",""numero"":""3937"",""relator"":""MIN. CÁRMEN LÚCIA"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""156362""},{""cadeia"":""EMB.DECL. NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE"",""classe"":""ADI"",""numero"":""3406"",""relator"":""MIN. ROSA WEBER"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""149573""},{""cadeia"":""SEGUNDOS EMB.DECL. NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE"",""classe"":""ADI"",""numero"":""3406"",""relator"":""MIN. ROSA WEBER"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""153183""},{""cadeia"":""EMB.DECL. NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE"",""classe"":""ADI"",""numero"":""3470"",""relator"":""MIN. ROSA WEBER"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""153182""},{""cadeia"":""EMB.DECL. NA ARGUIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL"",""classe"":""ADPF"",""numero"":""109"",""relator"":""MIN. EDSON FACHIN"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""147413""},{""cadeia"":null,""classe"":""ADC"",""numero"":""51"",""relator"":""MIN. GILMAR MENDES"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""157002""}],""listas"":[]}]}]}",23/02/2023,PRESENCIAL,"[{""codigo"":""TP"",""descricao"":""Plenário"",""sessoes"":[{""id"":""62310"",""dataInicio"":""23/02/2023 14:00"",""tipo"":""E"",""numero"":""4"",""ano"":""2023"",""observacao"":null,""incidentes"":[{""cadeia"":null,""classe"":""ADI"",""numero"":""4727"",""relator"":""MIN. EDSON FACHIN"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""140991""},{""cadeia"":""EMB.DECL. NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE"",""classe"":""ADI"",""numero"":""3356"",""relator"":""MIN. CÁRMEN LÚCIA"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""146793""},{""cadeia"":""EMB.DECL. NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE"",""classe"":""ADI"",""numero"":""3357"",""relator"":""MIN. CÁRMEN LÚCIA"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""152502""},{""cadeia"":""EMB.DECL. NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE"",""classe"":""ADI"",""numero"":""3937"",""relator"":""MIN. CÁRMEN LÚCIA"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""156362""},{""cadeia"":""EMB.DECL. NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE"",""classe"":""ADI"",""numero"":""3406"",""relator"":""MIN. ROSA WEBER"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""149573""},{""cadeia"":""SEGUNDOS EMB.DECL. NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE"",""classe"":""ADI"",""numero"":""3406"",""relator"":""MIN. ROSA WEBER"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""153183""},{""cadeia"":""EMB.DECL. NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE"",""classe"":""ADI"",""numero"":""3470"",""relator"":""MIN. ROSA WEBER"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""153182""},{""cadeia"":""EMB.DECL. NA ARGUIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL"",""classe"":""ADPF"",""numero"":""109"",""relator"":""MIN. EDSON FACHIN"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""147413""},{""cadeia"":null,""classe"":""ADC"",""numero"":""51"",""relator"":""MIN. GILMAR MENDES"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""157002""}],""listas"":[]}]}]}"
"{""data"":""11/04/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[{""codigo"":""1T"",""descricao"":""Primeira Turma"",""sessoes"":[{""id"":""63350"",""dataInicio"":""11/04/2023 14:30"",""tipo"":""O"",""numero"":""2"",""ano"":""2023"",""observacao"":null,""incidentes"":[{""cadeia"":""AG.REG. NA AÇÃO ORIGINÁRIA"",""classe"":""AO"",""numero"":""2624"",""relator"":""MIN. ALEXANDRE DE MORAES"",""ministroVista"":""MIN. DIAS TOFFOLI"",""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""165842""},{""cadeia"":""AG.REG. NA RECLAMAÇÃO"",""classe"":""Rcl"",""numero"":""51692"",""relator"":""MIN. ALEXANDRE DE MORAES"",""ministroVista"":""MIN. DIAS TOFFOLI"",""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""165902""}],""listas"":[]}]}]}",11/04/2023,PRESENCIAL,"[{""codigo"":""1T"",""descricao"":""Primeira Turma"",""sessoes"":[{""id"":""63350"",""dataInicio"":""11/04/2023 14:30"",""tipo"":""O"",""numero"":""2"",""ano"":""2023"",""observacao"":null,""incidentes"":[{""cadeia"":""AG.REG. NA AÇÃO ORIGINÁRIA"",""classe"":""AO"",""numero"":""2624"",""relator"":""MIN. ALEXANDRE DE MORAES"",""ministroVista"":""MIN. DIAS TOFFOLI"",""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""165842""},{""cadeia"":""AG.REG. NA RECLAMAÇÃO"",""classe"":""Rcl"",""numero"":""51692"",""relator"":""MIN. ALEXANDRE DE MORAES"",""ministroVista"":""MIN. DIAS TOFFOLI"",""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""165902""}],""listas"":[]}]}]}"
"{""data"":""18/04/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[{""codigo"":""2T"",""descricao"":""Segunda Turma"",""sessoes"":[{""id"":""63431"",""dataInicio"":""18/04/2023 14:00"",""tipo"":""O"",""numero"":""4"",""ano"":""2023"",""observacao"":null,""incidentes"":[{""cadeia"":""AG.REG. NO HABEAS CORPUS"",""classe"":""HC"",""numero"":""200605"",""relator"":""MIN. EDSON FACHIN"",""ministroVista"":""MIN. NUNES MARQUES"",""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""S"",""idInformacaoPautaProcesso"":""165743""},{""cadeia"":""SEGUNDO JULGAMENTO NO AG.REG. NA EXTRADIÇÃO"",""classe"":""Ext"",""numero"":""1560"",""relator"":""MIN. GILMAR MENDES"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""166205""}],""listas"":[]}]}]}",18/04/2023,PRESENCIAL,"[{""codigo"":""2T"",""descricao"":""Segunda Turma"",""sessoes"":[{""id"":""63431"",""dataInicio"":""18/04/2023 14:00"",""tipo"":""O"",""numero"":""4"",""ano"":""2023"",""observacao"":null,""incidentes"":[{""cadeia"":""AG.REG. NO HABEAS CORPUS"",""classe"":""HC"",""numero"":""200605"",""relator"":""MIN. EDSON FACHIN"",""ministroVista"":""MIN. NUNES MARQUES"",""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""S"",""idInformacaoPautaProcesso"":""165743""},{""cadeia"":""SEGUNDO JULGAMENTO NO AG.REG. NA EXTRADIÇÃO"",""classe"":""Ext"",""numero"":""1560"",""relator"":""MIN. GILMAR MENDES"",""ministroVista"":null,""materiaRelevante"":""N"",""repercussaoGeral"":null,""situacaoProcessoSessao"":""J"",""idInformacaoPautaProcesso"":""166205""}],""listas"":[]}]}]}"
