dados,data,tipo,colegiados
"{""data"":""01/01/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",01/01/2023,PRESENCIAL,[]}
"{""data"":""02/01/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",02/01/2023,PRESENCIAL,[]}
"{""data"":""07/01/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",07/01/2023,PRESENCIAL,[]}
"{""data"":""08/01/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",08/01/2023,PRESENCIAL,[]}
"{""data"":""09/01/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",09/01/2023,PRESENCIAL,[]}
"{""data"":""15/01/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",15/01/2023,PRESENCIAL,[]}
"{""data"":""16/01/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",16/01/2023,PRESENCIAL,[]}
"{""data"":""23/01/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",23/01/2023,PRESENCIAL,[]}
"{""data"":""22/02/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",22/02/2023,PRESENCIAL,[]}
"{""data"":""28/02/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",28/02/2023,PRESENCIAL,[]}
"{""data"":""29/02/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",29/02/2023,PRESENCIAL,[]}
"{""data"":""30/02/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",30/02/2023,PRESENCIAL,[]}
"{""data"":""11/03/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",11/03/2023,PRESENCIAL,[]}
"{""data"":""12/03/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",12/03/2023,PRESENCIAL,[]}
"{""data"":""13/03/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",13/03/2023,PRESENCIAL,[]}
"{""data"":""18/03/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",18/03/2023,PRESENCIAL,[]}
"{""data"":""19/03/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",19/03/2023,PRESENCIAL,[]}
"{""data"":""20/03/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",20/03/2023,PRESENCIAL,[]}
"{""data"":""26/03/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",26/03/2023,PRESENCIAL,[]}
"{""data"":""27/03/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",27/03/2023,PRESENCIAL,[]}
"{""data"":""03/04/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",03/04/2023,PRESENCIAL,[]}
"{""data"":""04/04/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",04/04/2023,PRESENCIAL,[]}
"{""data"":""09/04/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",09/04/2023,PRESENCIAL,[]}
"{""data"":""10/04/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",10/04/2023,PRESENCIAL,[]}
"{""data"":""17/04/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",17/04/2023,PRESENCIAL,[]}
"{""data"":""23/04/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",23/04/2023,PRESENCIAL,[]}
"{""data"":""24/04/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",24/04/2023,PRESENCIAL,[]}
"{""data"":""25/04/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",25/04/2023,PRESENCIAL,[]}
"{""data"":""31/04/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",31/04/2023,PRESENCIAL,[]}
"{""data"":""01/05/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",01/05/2023,PRESENCIAL,[]}
"{""data"":""06/05/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",06/05/2023,PRESENCIAL,[]}
"{""data"":""07/05/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",07/05/2023,PRESENCIAL,[]}
"{""data"":""13/05/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",13/05/2023,PRESENCIAL,[]}
"{""data"":""14/05/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",14/05/2023,PRESENCIAL,[]}
"{""data"":""15/05/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",15/05/2023,PRESENCIAL,[]}
"{""data"":""20/05/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",20/05/2023,PRESENCIAL,[]}
"{""data"":""21/05/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",21/05/2023,PRESENCIAL,[]}
"{""data"":""22/05/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",22/05/2023,PRESENCIAL,[]}
"{""data"":""28/05/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",28/05/2023,PRESENCIAL,[]}
"{""data"":""29/05/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",29/05/2023,PRESENCIAL,[]}
"{""data"":""30/05/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",30/05/2023,PRESENCIAL,[]}
"{""data"":""01/07/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",01/07/2023,PRESENCIAL,[]}
"{""data"":""02/07/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",02/07/2023,PRESENCIAL,[]}
"{""data"":""03/07/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",03/07/2023,PRESENCIAL,[]}
"{""data"":""09/07/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",09/07/2023,PRESENCIAL,[]}
"{""data"":""10/07/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",10/07/2023,PRESENCIAL,[]}
"{""data"":""15/07/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",15/07/2023,PRESENCIAL,[]}
"{""data"":""16/07/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",16/07/2023,PRESENCIAL,[]}
"{""data"":""17/07/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",17/07/2023,PRESENCIAL,[]}
"{""data"":""22/07/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",22/07/2023,PRESENCIAL,[]}
"{""data"":""23/07/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",23/07/2023,PRESENCIAL,[]}
"{""data"":""24/07/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",24/07/2023,PRESENCIAL,[]}
"{""data"":""30/07/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",30/07/2023,PRESENCIAL,[]}
"{""data"":""31/07/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",31/07/2023,PRESENCIAL,[]}
"{""data"":""05/08/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",05/08/2023,PRESENCIAL,[]}
"{""data"":""06/08/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",06/08/2023,PRESENCIAL,[]}
"{""data"":""13/08/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",13/08/2023,PRESENCIAL,[]}
"{""data"":""14/08/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",14/08/2023,PRESENCIAL,[]}
"{""data"":""19/08/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",19/08/2023,PRESENCIAL,[]}
"{""data"":""20/08/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",20/08/2023,PRESENCIAL,[]}
"{""data"":""21/08/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",21/08/2023,PRESENCIAL,[]}
"{""data"":""27/08/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",27/08/2023,PRESENCIAL,[]}
"{""data"":""28/08/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",28/08/2023,PRESENCIAL,[]}
"{""data"":""03/09/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",03/09/2023,PRESENCIAL,[]}
"{""data"":""04/09/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",04/09/2023,PRESENCIAL,[]}
"{""data"":""17/09/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",17/09/2023,PRESENCIAL,[]}
"{""data"":""18/09/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",18/09/2023,PRESENCIAL,[]}
"{""data"":""25/09/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",25/09/2023,PRESENCIAL,[]}
"{""data"":""26/09/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",26/09/2023,PRESENCIAL,[]}
"{""data"":""07/10/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",07/10/2023,PRESENCIAL,[]}
"{""data"":""08/10/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",08/10/2023,PRESENCIAL,[]}
"{""data"":""09/10/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",09/10/2023,PRESENCIAL,[]}
"{""data"":""16/10/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",16/10/2023,PRESENCIAL,[]}
"{""data"":""22/10/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",22/10/2023,PRESENCIAL,[]}
"{""data"":""23/10/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",23/10/2023,PRESENCIAL,[]}
"{""data"":""29/10/2023"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",29/10/2023,PRESENCIAL,[]}
